"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SRSF35",6.0574650708959e-37,1.0257245430392,0.981,0.767,1.25565193454601e-32,"CD4 Proliferating","SRSF3"
"LAT11",6.71689970737592e-37,0.883277637996924,0.815,0.317,1.39234614034195e-32,"CD4 Proliferating","LAT"
"GMPS2",7.24969512247812e-37,0.665109410309108,0.667,0.2,1.50278930193849e-32,"CD4 Proliferating","GMPS"
"YWHAE11",9.26987281993883e-37,1.00218291558524,0.889,0.45,1.92155193684512e-32,"CD4 Proliferating","YWHAE"
"ATP5MF8",1.03217310860857e-36,0.850012511641836,0.981,0.67,2.1395916368347e-32,"CD4 Proliferating","ATP5MF"
"ATP5PF8",1.18714431379187e-36,0.915247343699547,0.954,0.635,2.46083144805916e-32,"CD4 Proliferating","ATP5PF"
"GLRX54",1.19280742001613e-36,0.839236196730957,0.778,0.307,2.47257050095144e-32,"CD4 Proliferating","GLRX5"
"PSMA55",1.26303985792151e-36,0.926274198120155,0.889,0.425,2.6181553214855e-32,"CD4 Proliferating","PSMA5"
"TCP13",1.32034585988417e-36,0.831607156868049,0.769,0.3,2.7369449329539e-32,"CD4 Proliferating","TCP1"
"UQCC22",1.4306169361022e-36,0.695669573120801,0.657,0.198,2.96552584684626e-32,"CD4 Proliferating","UQCC2"
"HAT12",1.70445925380341e-36,0.703486304570677,0.63,0.187,3.5331735872091e-32,"CD4 Proliferating","HAT1"
"LDHB9",2.11280704060681e-36,1.03938226989651,0.991,0.669,4.37963771447385e-32,"CD4 Proliferating","LDHB"
"ITM2A6",3.47163592037071e-36,1.12151890447691,0.759,0.28,7.19635409933644e-32,"CD4 Proliferating","ITM2A"
"HINT115",3.75597628466564e-36,0.85963093174689,1,0.902,7.7857632404834e-32,"CD4 Proliferating","HINT1"
"BAZ1B3",4.1776132270195e-36,0.913209662997298,0.806,0.32,8.65977445828872e-32,"CD4 Proliferating","BAZ1B"
"ETFB2",7.45967276167337e-36,0.868322538460199,0.824,0.356,1.54631556676727e-31,"CD4 Proliferating","ETFB"
"RPL26L1",7.47592885355206e-36,0.642017495153911,0.62,0.174,1.54968529205281e-31,"CD4 Proliferating","RPL26L1"
"COX7A26",8.257063544908e-36,0.821992777345871,0.981,0.793,1.71160670222398e-31,"CD4 Proliferating","COX7A2"
"ADA3",8.7203434760936e-36,0.65815676191727,0.509,0.128,1.80763999915944e-31,"CD4 Proliferating","ADA"
"SEPT13",1.14108568585346e-35,0.754921133012077,0.815,0.308,2.36535651820563e-31,"CD4 Proliferating","SEPT1"
"GLRX31",1.21895833062375e-35,0.641302500701231,0.667,0.207,2.52677872354997e-31,"CD4 Proliferating","GLRX3"
"MSH62",1.72638284609826e-35,0.717941825468217,0.528,0.136,3.57861900167708e-31,"CD4 Proliferating","MSH6"
"PAFAH1B3",2.0480293443791e-35,0.581927277585567,0.5,0.121,4.24536002796344e-31,"CD4 Proliferating","PAFAH1B3"
"POLD32",2.07555070526473e-35,0.736078714157671,0.528,0.137,4.30240905694326e-31,"CD4 Proliferating","POLD3"
"HSP90AA110",2.14943737684358e-35,1.02244134968056,0.981,0.946,4.45556873845906e-31,"CD4 Proliferating","HSP90AA1"
"UFD12",2.24450696809659e-35,0.677709037526701,0.778,0.278,4.65263849416742e-31,"CD4 Proliferating","UFD1"
"DCTN33",2.37663818805318e-35,0.836808740807883,0.852,0.394,4.92653330001544e-31,"CD4 Proliferating","DCTN3"
